# KIS 퇴직연금(DC) 매매 가능 ETF allowlist — 시드 2026-07-29 (대표 ETF 수동 구성)
# 규칙: 레버리지/인버스 불가, 선물(파생)형 불가(예: 143850 TIGER 미국S&P500선물(H),
#       305080 TIGER 미국채10년선물 제외). risk=위험자산, safe=안전자산.
# 사용자 검수 필요: KIS 퇴직연금 주문 화면의 실제 매매가능 목록과 대조 후 추가/삭제.
code,name,risk_class,memo
069500,KODEX 200,risk,국내 대형주
229200,KODEX 코스닥150,risk,국내 성장주
133690,TIGER 미국나스닥100,risk,미국 성장주
360750,TIGER 미국S&P500,risk,미국 대형주(2020-08 상장)
251350,KODEX 선진국MSCI World,risk,선진국 주식
192090,TIGER 차이나CSI300,risk,중국 주식(합성 여부 검수필요)
329200,TIGER 리츠부동산인프라,risk,국내 리츠(2019-07 상장)
153130,KODEX 단기채권,safe,단기채(현금성)
114260,KODEX 국고채3년,safe,국고채 3년
148070,KOSEF 국고채10년,safe,국고채 10년
